ATT(dB),0
Date,20180704
Model,N9344C
RBW(KHz),10.0
Ref(dBm),-20.0
Start Freq(MHz),88.0
Stop Freq(MHz),108.0
Sweep(sec),0.03919261
VBW(KHz),10.0
,88.0,88.04347826086956,88.08695652173913,88.13043478260869,88.17391304347825,88.21739130434781,88.26086956521738,88.30434782608694,88.3478260869565,88.39130434782606,88.43478260869563,88.47826086956519,88.52173913043475,88.56521739130432,88.60869565217388,88.65217391304344,88.695652173913,88.73913043478257,88.78260869565213,88.82608695652169,88.86956521739125,88.91304347826082,88.95652173913038,88.99999999999994,89.0434782608695,89.08695652173907,89.13043478260863,89.1739130434782,89.21739130434776,89.26086956521732,89.30434782608688,89.34782608695645,89.39130434782601,89.43478260869557,89.47826086956513,89.5217391304347,89.56521739130426,89.60869565217382,89.65217391304338,89.69565217391295,89.73913043478251,89.78260869565207,89.82608695652164,89.8695652173912,89.91304347826076,89.95652173913032,89.99999999999989,90.04347826086945,90.08695652173901,90.13043478260857,90.17391304347814,90.2173913043477,90.26086956521726,90.30434782608683,90.34782608695639,90.39130434782595,90.43478260869551,90.47826086956508,90.52173913043464,90.5652173913042,90.60869565217376,90.65217391304333,90.69565217391289,90.73913043478245,90.78260869565202,90.82608695652158,90.86956521739114,90.9130434782607,90.95652173913027,90.99999999999983,91.04347826086939,91.08695652173895,91.13043478260852,91.17391304347808,91.21739130434764,91.2608695652172,91.30434782608677,91.34782608695633,91.3913043478259,91.43478260869546,91.47826086956502,91.52173913043458,91.56521739130415,91.60869565217371,91.65217391304327,91.69565217391283,91.7391304347824,91.78260869565196,91.82608695652152,91.86956521739108,91.91304347826065,91.95652173913021,91.99999999999977,92.04347826086934,92.0869565217389,92.13043478260846,92.17391304347802,92.21739130434759,92.26086956521715,92.30434782608671,92.34782608695627,92.39130434782584,92.4347826086954,92.47826086956496,92.52173913043453,92.56521739130409,92.60869565217365,92.65217391304321,92.69565217391278,92.73913043478234,92.7826086956519,92.82608695652146,92.86956521739103,92.91304347826059,92.95652173913015,92.99999999999972,93.04347826086928,93.08695652173884,93.1304347826084,93.17391304347797,93.21739130434753,93.26086956521709,93.30434782608666,93.34782608695622,93.39130434782578,93.43478260869534,93.4782608695649,93.52173913043447,93.56521739130403,93.6086956521736,93.65217391304316,93.69565217391272,93.73913043478228,93.78260869565185,93.82608695652141,93.86956521739097,93.91304347826053,93.9565217391301,93.99999999999966,94.04347826086922,94.08695652173878,94.13043478260835,94.17391304347791,94.21739130434747,94.26086956521704,94.3043478260866,94.34782608695616,94.39130434782572,94.43478260869529,94.47826086956485,94.52173913043441,94.56521739130397,94.60869565217354,94.6521739130431,94.69565217391266,94.73913043478223,94.78260869565179,94.82608695652135,94.86956521739091,94.91304347826048,94.95652173913004,94.9999999999996,95.04347826086916,95.08695652173873,95.13043478260829,95.17391304347785,95.21739130434742,95.26086956521698,95.30434782608654,95.3478260869561,95.39130434782567,95.43478260869523,95.47826086956479,95.52173913043436,95.56521739130392,95.60869565217348,95.65217391304304,95.6956521739126,95.73913043478217,95.78260869565173,95.8260869565213,95.86956521739086,95.91304347826042,95.95652173912998,95.99999999999955,96.04347826086911,96.08695652173867,96.13043478260823,96.1739130434778,96.21739130434736,96.26086956521692,96.30434782608648,96.34782608695605,96.39130434782561,96.43478260869517,96.47826086956474,96.5217391304343,96.56521739130386,96.60869565217342,96.65217391304299,96.69565217391255,96.73913043478211,96.78260869565167,96.82608695652124,96.8695652173908,96.91304347826036,96.95652173912993,96.99999999999949,97.04347826086905,97.08695652173861,97.13043478260818,97.17391304347774,97.2173913043473,97.26086956521686,97.30434782608643,97.34782608695599,97.39130434782555,97.43478260869512,97.47826086956468,97.52173913043424,97.5652173913038,97.60869565217337,97.65217391304293,97.69565217391249,97.73913043478206,97.78260869565162,97.82608695652118,97.86956521739074,97.9130434782603,97.95652173912987,97.99999999999943,98.043478260869,98.08695652173856,98.13043478260812,98.17391304347768,98.21739130434725,98.26086956521681,98.30434782608637,98.34782608695593,98.3913043478255,98.43478260869506,98.47826086956462,98.52173913043418,98.56521739130375,98.60869565217331,98.65217391304287,98.69565217391244,98.739130434782,98.78260869565156,98.82608695652112,98.86956521739069,98.91304347826025,98.95652173912981,98.99999999999937,99.04347826086894,99.0869565217385,99.13043478260806,99.17391304347763,99.21739130434719,99.26086956521675,99.30434782608631,99.34782608695588,99.39130434782544,99.434782608695,99.47826086956456,99.52173913043413,99.56521739130369,99.60869565217325,99.65217391304282,99.69565217391238,99.73913043478194,99.7826086956515,99.82608695652107,99.86956521739063,99.91304347826019,99.95652173912976,99.99999999999932,100.04347826086888,100.08695652173844,100.130434782608,100.17391304347757,100.21739130434713,100.2608695652167,100.30434782608626,100.34782608695582,100.39130434782538,100.43478260869495,100.47826086956451,100.52173913043407,100.56521739130363,100.6086956521732,100.65217391304276,100.69565217391232,100.73913043478188,100.78260869565145,100.82608695652101,100.86956521739057,100.91304347826014,100.9565217391297,100.99999999999926,101.04347826086882,101.08695652173839,101.13043478260795,101.17391304347751,101.21739130434707,101.26086956521664,101.3043478260862,101.34782608695576,101.39130434782533,101.43478260869489,101.47826086956445,101.52173913043401,101.56521739130358,101.60869565217314,101.6521739130427,101.69565217391226,101.73913043478183,101.78260869565139,101.82608695652095,101.86956521739052,101.91304347826008,101.95652173912964,101.9999999999992,102.04347826086877,102.08695652173833,102.13043478260789,102.17391304347746,102.21739130434702,102.26086956521658,102.30434782608614,102.3478260869557,102.39130434782527,102.43478260869483,102.4782608695644,102.52173913043396,102.56521739130352,102.60869565217308,102.65217391304265,102.69565217391221,102.73913043478177,102.78260869565133,102.8260869565209,102.86956521739046,102.91304347826002,102.95652173912958,102.99999999999915,103.04347826086871,103.08695652173827,103.13043478260784,103.1739130434774,103.21739130434696,103.26086956521652,103.30434782608609,103.34782608695565,103.39130434782521,103.43478260869477,103.47826086956434,103.5217391304339,103.56521739130346,103.60869565217303,103.65217391304259,103.69565217391215,103.73913043478171,103.78260869565128,103.82608695652084,103.8695652173904,103.91304347825997,103.95652173912953,103.99999999999909,104.04347826086865,104.08695652173822,104.13043478260778,104.17391304347734,104.2173913043469,104.26086956521647,104.30434782608603,104.34782608695559,104.39130434782516,104.43478260869472,104.47826086956428,104.52173913043384,104.5652173913034,104.60869565217297,104.65217391304253,104.6956521739121,104.73913043478166,104.78260869565122,104.82608695652078,104.86956521739035,104.91304347825991,104.95652173912947,104.99999999999903,105.0434782608686,105.08695652173816,105.13043478260772,105.17391304347728,105.21739130434685,105.26086956521641,105.30434782608597,105.34782608695554,105.3913043478251,105.43478260869466,105.47826086956422,105.52173913043379,105.56521739130335,105.60869565217291,105.65217391304247,105.69565217391204,105.7391304347816,105.78260869565116,105.82608695652073,105.86956521739029,105.91304347825985,105.95652173912941,105.99999999999898,106.04347826086854,106.0869565217381,106.13043478260767,106.17391304347723,106.21739130434679,106.26086956521635,106.30434782608592,106.34782608695548,106.39130434782504,106.4347826086946,106.47826086956417,106.52173913043373,106.56521739130329,106.60869565217286,106.65217391304242,106.69565217391198,106.73913043478154,106.7826086956511,106.82608695652067,106.86956521739023,106.9130434782598,106.95652173912936,106.99999999999892,107.04347826086848,107.08695652173805,107.13043478260761,107.17391304347717,107.21739130434673,107.2608695652163,107.30434782608586,107.34782608695542,107.39130434782498,107.43478260869455,107.47826086956411,107.52173913043367,107.56521739130324,107.6086956521728,107.65217391304236,107.69565217391192,107.73913043478149,107.78260869565105,107.82608695652061,107.86956521739017,107.91304347825974,107.9565217391293,108.0
2018-7-4 16:38:30,-90.16386,-86.70343,-88.24055,-95.46184,-88.87343,-85.13962,-89.24193,-85.27409,-89.89234,-91.5983,-93.02511,-85.80893,-90.36213,-81.81059,-88.19601,-87.5179,-87.4007,-87.10935,-90.07021,-87.84046,-90.48413,-87.64168,-86.06068,-87.79955,-93.19963,-85.94407,-84.03303,-92.1327,-90.34013,-63.66226,-56.26792,-74.08965,-88.2987,-92.6763,-84.39652,-86.01422,-87.12554,-87.20644,-89.08102,-86.6707,-88.30392,-89.51552,-84.61983,-85.073,-74.75616,-90.01646,-87.12169,-86.68822,-87.22549,-87.15022,-89.88158,-81.9738,-88.4469,-87.35565,-88.56694,-86.54541,-84.2455,-86.14505,-88.74345,-88.72025,-88.90336,-86.91941,-87.37376,-88.21484,-88.09489,-85.31553,-62.20357,-52.5952,-85.48029,-90.66663,-88.56008,-85.78712,-85.39371,-84.36869,-88.08718,-90.56982,-89.27807,-88.73699,-83.80202,-59.70592,-56.28043,-80.77274,-85.55352,-85.55436,-85.08537,-90.75458,-88.03447,-85.83281,-87.06765,-87.06348,-87.74763,-94.1165,-89.11778,-92.83554,-85.59268,-85.88573,-89.01213,-88.36848,-91.09258,-85.34616,-92.92444,-91.08235,-89.86371,-87.6308,-87.42567,-89.7339,-87.96768,-86.10733,-90.93623,-91.47781,-90.40515,-89.74895,-90.88748,-90.5481,-91.27293,-88.66678,-91.31938,-92.3257,-87.69753,-88.61385,-88.72037,-87.59526,-88.78201,-90.39623,-86.76595,-86.26196,-88.6566,-89.51055,-88.71579,-93.77184,-86.04514,-88.55067,-87.21222,-91.51044,-87.80333,-86.42679,-87.57341,-95.61245,-83.13937,-74.59222,-51.091,-60.99678,-79.2276,-88.4946,-89.03549,-89.61153,-92.149,-89.19534,-89.03384,-88.46405,-92.85154,-88.91347,-88.69231,-89.37115,-82.4522,-87.29845,-89.0384,-86.25584,-85.80305,-91.69674,-88.20435,-90.19273,-87.8262,-90.83586,-91.70045,-88.71768,-91.06127,-89.78488,-89.73587,-89.29909,-90.55579,-88.28979,-91.15948,-88.08141,-91.39307,-90.51733,-91.73107,-91.41734,-88.77051,-88.25094,-90.04014,-91.84198,-92.3435,-96.47942,-83.06655,-86.87551,-90.11049,-88.70767,-88.88478,-91.66702,-93.84279,-89.89951,-93.47921,-91.97958,-92.33823,-88.50864,-88.62837,-89.50568,-90.07919,-65.36215,-58.0433,-80.67242,-88.60577,-92.42152,-89.90491,-90.88206,-86.64153,-86.60249,-90.25346,-90.06732,-89.05317,-89.77963,-90.80373,-91.88625,-91.6491,-92.85657,-95.37635,-87.46267,-89.40472,-87.54285,-87.4078,-94.24771,-92.85221,-92.83245,-90.39308,-90.64394,-87.10072,-92.8063,-95.79169,-91.81071,-92.64106,-90.00615,-91.77186,-95.25169,-90.05405,-90.63921,-88.87714,-94.75665,-91.68595,-94.77786,-90.19212,-88.09776,-91.49117,-85.59529,-93.28597,-94.96832,-95.1258,-89.69868,-85.92419,-88.03394,-90.98407,-89.83331,-87.29749,-89.42291,-91.62762,-91.86897,-93.04185,-92.06932,-94.02864,-87.33377,-89.26123,-88.74838,-92.19022,-86.99052,-95.69925,-90.31602,-89.82352,-87.64047,-66.90204,-48.53953,-65.19485,-82.2942,-94.73439,-90.91672,-93.18261,-96.00506,-79.30533,-87.69555,-91.00795,-91.13696,-91.22752,-92.83755,-83.98562,-83.69986,-89.03297,-92.71313,-92.29727,-92.33675,-91.76538,-91.84174,-93.87585,-94.17964,-90.34932,-90.29433,-89.11626,-93.39604,-92.38275,-90.84785,-93.10846,-93.65648,-90.72772,-94.70624,-91.0844,-90.741,-89.52621,-86.30698,-89.72344,-89.94801,-89.89266,-83.56136,-45.38269,-45.32825,-88.45605,-89.70901,-89.69123,-87.57928,-94.98289,-92.72331,-94.15565,-88.00684,-92.33115,-88.53093,-90.44656,-92.88044,-92.09826,-94.15612,-91.12732,-89.44334,-87.43179,-89.76504,-85.98651,-92.95821,-90.11841,-89.27246,-88.89227,-90.40611,-91.44214,-89.22488,-90.38662,-92.1471,-96.06697,-90.62704,-90.72485,-92.1581,-93.44551,-92.85049,-93.12665,-89.89446,-90.86374,-92.82381,-92.35689,-90.82207,-89.12802,-89.45967,-87.40211,-90.97928,-90.05373,-90.11293,-97.88472,-90.35886,-90.7259,-89.92233,-91.14815,-88.03041,-88.26841,-91.36871,-88.66302,-91.90902,-89.90949,-90.14894,-90.63503,-88.64351,-96.94898,-87.33469,-91.576,-88.24115,-88.79453,-89.8565,-84.04082,-93.98985,-93.05191,-92.55022,-92.01804,-94.96757,-94.76223,-93.64777,-95.21571,-91.37968,-94.58176,-97.21427,-98.03475,-95.04605,-95.70071,-76.9035,-84.79459,-96.19183,-94.58788,-95.1312,-94.36963,-94.34991,-94.58594,-96.22507,-92.31767,-92.77972,-90.96468,-93.25298,-97.72348,-79.78307,-92.50134,-92.3148,-93.37773,-93.22137,-94.51068,-91.89567,-96.75367,-100.6759,-96.15512,-94.67877,-92.96844,-92.82645,-94.99474,-88.97056,-99.40637,-94.53715,-95.92008,-96.6853,-96.89305,-104.5628,-92.95467,-94.55724,-96.33694,-93.22107,-93.86248,-96.02004,-91.95274,-96.72569,-94.3671,-95.11697,-79.68566,-51.28557,-58.5722,-96.10527,-95.75171,-96.17981,-93.85641,-85.71129,-95.70187,-94.88832,-96.65512,-95.14333,-96.01361,-96.00801,-95.40928,-101.015,-92.79062,-97.88052,-93.17159,-94.44089,-93.35111,-99.56451,-84.72203
2018-7-4 16:38:30,-85.82398,-86.23499,-88.19344,-87.7377,-86.07267,-84.57579,-88.83926,-92.62861,-88.42975,-89.8898,-89.30778,-94.09179,-83.81118,-82.98442,-87.55855,-91.33273,-83.40987,-86.30859,-87.35909,-84.60973,-90.79108,-89.07951,-86.54436,-89.33774,-89.50158,-89.78595,-91.79348,-82.19279,-84.68448,-66.89702,-56.85784,-59.08596,-86.74352,-86.08009,-86.21141,-85.92568,-87.41968,-90.24946,-90.13402,-86.28465,-87.67731,-88.98927,-86.52267,-79.40515,-73.68038,-88.33426,-91.70151,-84.79105,-87.83707,-88.10667,-88.61705,-88.71689,-86.25441,-85.22818,-87.05338,-87.1162,-89.28308,-83.55957,-89.22806,-85.38272,-87.99813,-86.47248,-88.02735,-83.35842,-85.36585,-85.9706,-55.13212,-52.95688,-79.46056,-87.56006,-83.2659,-89.68362,-88.82288,-86.22864,-89.16024,-88.50299,-85.51081,-88.29595,-84.69274,-83.5237,-58.07618,-67.09933,-87.91309,-87.76182,-84.96101,-90.54687,-89.23549,-83.02472,-86.70775,-88.13559,-86.48369,-89.99868,-85.69881,-94.16047,-84.99668,-82.66969,-89.12401,-84.75922,-88.24892,-86.82729,-89.37824,-91.92424,-87.8559,-87.40571,-87.41165,-86.1044,-90.39117,-89.03604,-86.36133,-88.37012,-88.39872,-85.84287,-93.61621,-90.41185,-91.26937,-89.80672,-91.2652,-88.72132,-87.75996,-89.03072,-89.00074,-87.648,-88.23483,-87.11461,-88.13567,-88.65065,-88.60516,-92.01167,-88.959,-89.08316,-89.65672,-89.36089,-86.61364,-86.75312,-87.84367,-86.14114,-83.24155,-89.06477,-88.27744,-73.39079,-51.15734,-63.74322,-75.68198,-86.48567,-87.16196,-92.39212,-90.37871,-90.20709,-92.90709,-93.44617,-90.65987,-95.00825,-86.73766,-88.44135,-90.99606,-79.79877,-88.52793,-89.71448,-89.72389,-88.25051,-89.92543,-88.22909,-89.0618,-91.35718,-89.54406,-88.22118,-88.83066,-90.9598,-87.70762,-92.07265,-91.32936,-88.60111,-95.769,-91.03579,-89.07251,-87.17089,-87.54736,-88.63509,-90.56329,-90.19063,-93.1464,-91.6258,-93.0171,-92.98648,-78.98141,-88.14851,-90.12064,-85.53465,-87.34694,-86.64291,-89.81008,-88.18629,-90.1459,-85.7926,-85.7851,-91.21013,-88.35023,-88.43784,-92.12807,-74.01111,-56.11432,-71.25053,-85.02228,-91.35543,-94.78482,-94.07704,-90.02607,-89.98006,-88.04337,-92.25197,-91.27089,-86.38747,-91.85983,-89.39586,-86.35271,-89.73354,-91.78467,-92.28242,-90.30864,-86.10262,-93.6803,-94.86583,-89.85307,-90.2272,-91.03143,-88.59162,-88.57666,-92.0087,-89.8495,-95.23904,-97.05863,-91.60778,-89.56754,-89.6983,-92.05141,-91.06714,-85.42409,-89.97345,-87.09264,-90.09362,-88.53938,-89.28911,-84.72479,-86.14691,-93.44064,-92.20769,-90.76872,-89.5542,-92.81856,-92.74678,-94.32068,-90.72984,-91.94322,-92.30284,-87.47307,-87.90904,-88.01947,-90.05032,-89.29183,-88.35407,-87.96449,-96.61239,-94.16203,-91.20219,-91.91885,-91.9554,-91.34562,-87.63586,-84.49506,-62.64188,-51.16619,-71.63463,-95.2355,-92.58074,-89.15208,-91.38108,-77.43378,-91.2449,-88.66053,-88.32664,-89.91143,-90.36147,-89.17802,-88.84234,-88.0864,-92.80802,-93.00261,-89.94253,-93.49703,-91.48489,-89.87766,-87.78174,-91.65106,-91.77612,-90.45386,-92.84122,-91.6112,-90.37948,-91.63025,-91.3988,-93.21768,-88.51421,-89.93361,-90.87242,-88.95912,-88.34619,-90.33389,-89.92381,-90.28407,-64.47864,-44.51996,-60.19933,-87.5049,-90.24947,-89.07732,-95.09605,-83.0128,-90.2925,-89.98018,-99.14636,-92.23479,-90.74168,-90.92525,-90.36655,-92.4277,-92.64819,-89.28189,-91.41237,-91.09175,-93.14276,-87.80354,-89.4138,-91.84599,-91.98045,-92.35024,-92.46732,-90.23598,-90.27956,-92.99767,-91.10057,-90.71046,-93.01971,-96.08629,-90.51141,-94.86447,-89.8672,-92.51486,-92.06786,-83.95787,-92.08474,-91.29478,-89.54655,-89.31968,-97.03894,-87.30352,-91.76897,-97.58778,-92.42392,-95.64489,-90.82361,-90.7238,-95.14674,-91.15256,-91.89326,-87.35363,-89.77988,-90.01116,-90.89102,-93.8592,-92.0648,-86.26607,-87.19014,-90.77793,-97.66257,-91.9801,-93.04382,-92.06621,-93.8886,-81.43025,-93.90385,-90.22455,-92.0849,-90.75336,-89.51555,-94.07669,-90.95514,-94.86806,-89.11462,-88.53156,-92.42204,-91.74807,-92.2851,-94.16784,-76.78095,-82.10506,-91.80544,-93.02197,-99.93423,-92.75117,-95.90691,-95.6905,-93.69884,-95.70871,-94.09065,-99.42426,-96.27345,-98.7489,-79.73933,-91.55724,-95.13496,-95.21675,-92.40399,-92.07462,-92.12813,-93.81142,-94.76633,-94.03964,-95.8177,-95.27924,-88.78221,-94.06355,-89.93135,-94.76211,-98.57553,-98.03987,-97.07259,-94.37392,-93.86873,-91.30788,-98.72108,-94.37915,-89.84432,-96.52769,-97.42336,-96.55882,-97.71278,-99.24815,-93.4357,-82.64023,-52.20042,-52.01782,-85.85146,-97.23026,-96.43658,-94.43051,-94.70261,-98.00302,-94.54976,-93.8103,-98.33929,-99.44705,-93.80063,-95.69858,-94.12409,-91.02476,-97.5294,-94.39353,-96.67714,-91.15915,-94.24403,-84.31445
2018-7-4 16:38:31,-84.53724,-83.60323,-87.38723,-87.40337,-89.91381,-84.9297,-85.37727,-84.72309,-88.94082,-87.0676,-84.62582,-84.72135,-86.93233,-83.84161,-90.68952,-90.471,-81.49093,-88.55042,-87.28087,-87.93789,-90.86967,-90.22701,-90.31668,-88.69682,-88.24592,-87.26486,-87.72464,-90.06244,-87.25631,-87.84897,-56.65466,-59.31104,-91.35181,-89.42358,-89.38866,-90.64805,-87.62104,-88.54247,-87.53848,-90.67114,-90.05646,-92.80463,-89.57694,-72.88882,-80.55354,-87.30656,-87.69688,-90.36356,-87.82572,-83.49201,-90.18534,-89.40719,-89.29845,-85.72549,-87.81461,-86.57467,-86.55718,-85.59222,-84.93052,-86.934,-84.4923,-85.67548,-82.18838,-88.19605,-89.49383,-87.67695,-60.34742,-52.79277,-85.56121,-87.78332,-87.91866,-87.38017,-86.31667,-87.35744,-87.33878,-85.40852,-86.74764,-89.56234,-88.64584,-86.92175,-76.31068,-60.42848,-75.22749,-85.42066,-82.5142,-86.14741,-95.87566,-83.20212,-95.54495,-89.79638,-85.13625,-88.78096,-91.35179,-90.14175,-80.09593,-82.40271,-91.08906,-88.03781,-89.77515,-83.32887,-87.25703,-87.40984,-88.40234,-89.88831,-90.39492,-92.27525,-86.73423,-87.90025,-93.28207,-94.31249,-87.90903,-86.07433,-86.57424,-87.29218,-89.95538,-89.63792,-92.04775,-83.25309,-88.26852,-86.63494,-87.23895,-90.87254,-86.84332,-86.09284,-86.13039,-90.3456,-89.54598,-91.84606,-89.27801,-87.76727,-87.72823,-85.67078,-89.71605,-87.79177,-88.06944,-94.33071,-85.23119,-91.08118,-77.78838,-61.55627,-50.45431,-75.01138,-84.82764,-88.57658,-93.85108,-88.32661,-88.19901,-87.46358,-87.4194,-92.15127,-89.98732,-88.29621,-89.56353,-86.33347,-80.03786,-88.83124,-89.26369,-89.79304,-88.22979,-88.17968,-92.08635,-90.88338,-88.85336,-90.27683,-88.99451,-87.32025,-89.12302,-86.1581,-87.49128,-88.66302,-89.65847,-86.86373,-89.46455,-88.92306,-90.31802,-91.00878,-84.35664,-89.87777,-93.43603,-92.66972,-89.75613,-92.39999,-92.08028,-89.19487,-84.2194,-91.59447,-86.07992,-88.71773,-94.60821,-87.70011,-94.77525,-87.34767,-90.27624,-87.22892,-87.33343,-90.48597,-84.80275,-90.11647,-90.85995,-83.41603,-57.51189,-56.52637,-79.01855,-90.26195,-90.22215,-85.91632,-87.01794,-90.50043,-93.28783,-88.34187,-93.48691,-90.5787,-88.24394,-91.61723,-93.72273,-91.8492,-86.94044,-90.3855,-94.8536,-87.59301,-86.72248,-86.7282,-92.09412,-88.77676,-92.81397,-92.86481,-89.18648,-90.58699,-87.70963,-92.49703,-93.77522,-90.09465,-91.84621,-94.28297,-90.81757,-90.09417,-89.50787,-88.30248,-90.40741,-89.69724,-90.0042,-87.40015,-84.57176,-88.93297,-89.05185,-91.55413,-89.32363,-88.30833,-91.07637,-86.83116,-89.2058,-92.48374,-87.05528,-86.92129,-92.42134,-89.99367,-90.7587,-90.54314,-94.37621,-87.62067,-89.39096,-93.30726,-88.74795,-88.99834,-88.15002,-90.39657,-91.59077,-87.18808,-59.90959,-48.98265,-65.02715,-88.60075,-88.55141,-90.04422,-87.15054,-92.55767,-78.18999,-88.2084,-93.72434,-94.51596,-92.82759,-86.41709,-85.3412,-81.80394,-92.02228,-97.98318,-86.43283,-86.84139,-89.36764,-89.85057,-89.87285,-87.00843,-97.16846,-88.89403,-88.93369,-93.35585,-91.25826,-90.46345,-89.12997,-96.99828,-88.70687,-91.9865,-92.33192,-91.26429,-87.663,-88.35328,-92.75141,-89.31661,-92.12035,-88.43964,-45.95322,-45.38634,-84.40104,-89.57381,-93.35584,-88.84104,-88.3609,-88.82129,-91.99858,-90.3567,-90.73573,-90.70118,-87.27482,-90.16046,-85.67389,-91.26009,-93.7668,-89.39296,-89.87289,-89.96881,-86.3617,-93.44685,-90.05692,-93.46088,-92.09795,-89.92281,-93.91469,-86.79561,-91.2125,-93.6227,-91.3458,-95.28561,-96.15804,-88.70167,-88.35464,-88.0535,-88.13429,-92.45039,-89.77363,-89.87513,-93.85552,-90.34644,-88.67175,-88.96289,-90.14978,-95.24961,-88.81459,-91.49991,-89.98297,-92.95763,-94.89587,-89.91233,-96.23986,-90.79392,-91.04392,-93.06745,-88.54954,-93.61143,-89.22683,-93.16436,-86.28356,-94.03826,-88.23385,-88.52416,-90.06498,-90.9369,-91.14595,-87.27437,-87.44491,-91.03154,-94.36485,-91.59299,-94.24191,-94.92564,-92.41612,-94.18475,-90.95532,-93.81033,-94.58985,-94.33825,-95.23054,-93.31478,-91.34421,-77.09673,-88.39783,-91.35358,-96.45509,-93.83266,-93.05171,-96.57827,-91.29181,-95.78851,-92.005,-92.01442,-94.55836,-93.0181,-94.48072,-82.27119,-92.3045,-91.81141,-96.84917,-91.5071,-94.73914,-95.20913,-94.25651,-92.93742,-96.78757,-100.3117,-92.04862,-92.71346,-94.10618,-89.66282,-97.53576,-98.69906,-94.97877,-95.58276,-95.55906,-89.41764,-99.41705,-98.6415,-93.73689,-93.98534,-95.0194,-95.04726,-98.99873,-97.19772,-95.77103,-96.85735,-85.32757,-61.47083,-52.41045,-83.39168,-95.75704,-94.71787,-95.92151,-89.39675,-95.54028,-95.99137,-92.83204,-92.49919,-93.16314,-94.91438,-93.55065,-95.97318,-99.72994,-95.50166,-97.38711,-91.27251,-92.53437,-94.17841,-86.10926
